发布时间,微博内容,情感倾向
2024-01-01 17:56:00,@评论罗伯特为什么不评论我，是不是看不起我[丰收了][丰收了][丰收了],积极
2024-01-01 17:56:00,@评论罗伯特是不是找刺激我删了哈?,积极
2024-01-01 17:56:00,@评论罗伯特理理我呗,积极
2024-01-01 17:57:00,啊哈哈哈哈哈哈让我来看看它会说什么@评论罗伯特,积极
2024-01-01 17:57:00,@评论罗伯特@评论罗伯特来回复你爹快点的,积极
2024-01-01 17:58:00,@评论罗伯特你神通广大那你可以让我的ss回来吗?,积极
2024-01-01 17:58:00,为啥我那么喜爱甜品@评论罗伯特,积极
2024-01-01 17:59:00,今晚吃什么？@评论罗伯特,积极
2024-01-01 23:52:00,今天是志愿者的一天！早上四点爬起来，昨天跨年只睡了三个小时钟。在赛道旁站了七个小时真的累惨了，但是好开心啊，迎接2024的最佳方式@评论罗伯特@评论哇噻罗伯特你有什么想说的吗,积极
2024-01-01 23:53:00,@评论罗伯特给你介绍一下，我的老公,积极
2024-01-01 23:54:00,@评论罗伯特快说一句新年祝福,积极
2024-01-01 23:54:00,你妈妈有吗？你妈妈有吗？你妈有吗！@评论罗伯特,积极
2024-01-01 23:54:00,@评论罗伯特帮我问一下@微博小秘书我的大?什么时候到,积极
2024-01-01 23:55:00,孟宴臣超话啧啧啧，那个机器人@评论罗伯特，我问你2024我能和孟宴臣结婚吗？,积极
2024-01-01 23:56:00,评论罗伯特我要纱了你,积极
2024-01-01 23:56:00,评论罗伯特（？）不知为何突然对我昨天两条微博进行了一些目的未知的评论??,积极
2024-01-01 23:57:00,不想写作业……你可以帮我炸了学校吗@评论罗伯特,积极
2024-01-01 23:57:00,罗伯特又出没了[丰收了]大半夜又来评论了,积极
2024-01-01 23:59:00,鉴定评论罗伯特是真人，这几天休假了，我没回他他也就不来了。,积极
2024-01-01 23:59:00,我说实在的你真的没有评论过我一次@评论罗伯特,积极
2024-01-01 23:59:00,@评论罗伯特能给我发五千块红包吗,积极
2024-01-01 23:59:00,孟宴臣超话我的性取向：魏大勋坚定的唯勋主义战士@评论罗伯特,积极
2024-01-02 00:51:00,该账号因被投诉违反《微博社区公约》的相关规定，现已无法查看。查看帮助https://kefu.weibo.com/faqdetail?id=13216,积极
2024-01-02 05:09:00,摩登兄弟超话#和刘宇宁点亮微博之夜#刘宇宁宁远舟lyn#刘宇宁宁远舟#lyn刘宇宁一念关山lyn#刘宇宁一念关山#lyn燕子京lyn珠帘玉幕lyn魏劭lyn折腰lyn@摩登兄弟刘宇宁,积极
2024-01-02 05:09:00,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：http://t.cn/RfdBWwP,积极
2024-01-02 05:13:00,阳光信用超话?#每日一善#?#阳光信用#拥有一颗安闲自在的心，一切随缘，顺其自然，不怨怒，不躁进，不过度，不强求，不悲观，不刻板，不慌乱，不忘形，不以物喜，不以己悲。随缘不是听天由命，而是以豁达的心态面对生活。一切都是为了阳光信用@曹国伟@评论罗伯特毕竟好久都没怎么涨了@曹国伟一起保护大自然@百万森林与社会携手做公益@微公益关爱唇腭裂儿童@嫣然天使基金关心小动物的生存@WWF世界自然基金会关怀需要帮助的人@轻松筹多看央视新闻关心社会@央视新闻是看报道关心发展@人民日报我吃了颗帝梵巧克力@GODIVA歌帝梵配戴着全套铂金饰品@铂金Platinum随手拿了碧欧泉@碧欧泉Biotherm去和万宝龙赴约@MONTBLANC万宝龙踩着匡威的新品@CONVERSE中国希望在你的Fendi里@FENDI找一个Gucci的角落@GUCCI我希望在你的Tiffany@TiffanyAndCo蒂芙尼像一个粉色的TomFord@TOMFORD汤姆福特希望在你LV@路易威登有CELINE和BVLGARL@BVLGARI宝格丽压心底压心底还有阿玛尼@Armani阿玛尼宝格丽宝格丽怎能忘记@BVLGARI宝格丽不能忘记你把你写在蒂芙尼@TiffanyAndCo蒂芙尼不能忘记你心里想兰博基尼@兰博基尼收起d,积极
2024-01-02 05:14:00,@评论罗伯特我想睡觉……,积极
2024-01-02 05:18:00,评论罗伯特今天怎么评论了我两条你怎么回事你,积极
2024-01-02 05:19:00,时代少年团周边中转站超话111@评论罗伯特,积极
2024-01-02 05:20:00,@评论罗伯特怎么不理我了,积极
2024-01-02 05:31:00,@评论罗伯特你快来评论我！,消极
2024-01-02 05:33:00,上一次我不计较了这次你要回我啊回我@评论罗伯特,消极
2024-01-02 05:34:00,祝福我一句话呗祝福我一句话呗祝福我一句话呗@评论罗伯特,消极
2024-01-02 05:36:00,@评论罗伯特你为什么不理我,积极
2024-01-02 05:37:00,你真的不能给我评论一个吗@评论罗伯特,积极
2024-01-02 05:39:00,牛博超话漫步在岁月中，心被四季的景所染，爱上了这流水的岁月，随心随意，淡淡的细品烟火人间。心中有爱，忙而不茫，岁月里时时有花开，生活中常常见诗意。一边走，一边享受自己的人生。把起伏坎坷，似做磨炼，历练的越多，脚步越稳健。把不定变幻，当成转角遇到新生，从容接受，从自身改变，只为活出自我喜欢。于悠悠岁月中，择一缕欢喜，简单的生活，淡淡的念起，不因他人，只为遇见自己，取悦自己。爱上岁月，爱上自己，为自己而生活，不是为了生活而生活。不管什么时候，都要照顾好自己，不断学习丰盈，活好当下，迎接未来，淡品人生。2无锡收起d,积极
2024-01-02 05:44:00,马克扎克伯格是蜥蜴人吗@评论罗伯特,积极
2024-01-02 05:48:00,郝富申力挺是什么梗@评论罗伯特,积极
2024-01-02 05:57:00,听说发这个阅读量能回来??那我也来试试??To：微博爸爸你好，大眼宝宝你好，以下是我对微博的一切真情实感总结。@曹国伟微博作为社交媒体平台有许多独特的好处。首先，它以即时性而著称，用户能够实时获取并分享新闻、观点和生活片段。这种及时的信息流使用户能够保持对时事的敏感性，与朋友分享生活中的精彩瞬间。其次，微博具有开放性和多样性的特点。用户可以关注各种领域的内容创作者，从而拓宽自己的知识面和兴趣范围。这使得微博成为一个汇聚不同观点和信息的平台，促进了用户在多元化内容中的沉浸式体验。另外，微博也提供了强大的互动性，用户之间可以进行评论、转发和点赞，形成内容的传播链。这种互动机制加强了人与人之间的联系，促使用户在共同关注的话题上建立更紧密的社交关系。综合来看，微博的便捷性、多样性和社交性使其成为一个富有活力和有趣的社交平台，为用户提供了丰富多彩的社交体验。所以，我总结的好吗？可以把实时还给我了吗？@微博客服@微博管理员@微博小秘书@评论罗伯特请收下我对微博最崇高的敬意！收起d,积极
2024-01-02 07:26:00,#瓶邪#“我等春雷，来提醒你爱谁。”（思__期+窗户纸)专栏·红豆生南国,积极
2024-01-02 10:50:00,七解之坟超话扫一下,积极
2024-01-02 10:52:00,新年思旧友，他乡可好吗？一别许多年，音容藏心间，浊世走一遭，幸逢几兄弟，水远山高隔，何日再相聚？，，对镜见鬓白，想到了过去那些挚友,积极
2024-01-02 11:51:00,评论员罗伯特怎么摸到我贴子下面来啦,积极
2024-01-02 11:51:00,出来说话@评论罗伯特,积极
2024-01-02 11:53:00,@评论罗伯特你好，你出现一下可以吗。,积极
2024-01-02 11:53:00,听说发这个ssydl能回来??那我也来试试??许愿我的实时快点回来??????以下都是我发自肺腑的真情实感??微博爸爸你好，大眼宝宝你好，以下是我对微博的一切真情实感总结。@曹国伟微博，是一座数字化的城市，充满了各色的建筑，每一个博主都是这座城市中闪耀的明珠。在这个文明的角落里，博主们如诗人般用文字娓娓道来生活的点滴，用独特的视角分享世界的美好。微博，不仅是信息的聚合地，更是思想的碰撞场。在这里，各类观点交汇，创意如潮水般涌动，形成了一个充满活力和创造力的文化广场。博主们用智慧和深度的内容丰富着这片数字土地，为这个城市注入了独有的魅力。微博，是一个共鸣的平台。博主与粉丝之间的互动，如同城市中居民之间的交往，亲切而真挚。每一个转发、评论、点赞都是一种默契的沟通，使得这个城市更加温馨。感谢微博，是你让我们在这个虚拟的城市里找到了无数共鸣的心弦。愿微博继续繁荣，让每一个用户都在这个数字世界中找到知音，创造更多属于自己的精彩瞬间。所以，可以把实时还给我了吗？@微博客服@微博管理员@微博小秘书@评论罗伯特请收下我对微博最崇高的敬意！收起d,积极
2024-01-02 11:54:00,#实时号检测#@评论罗伯特你骗我,积极
2024-01-02 11:55:00,@评论罗伯特请说……,消极
2024-01-02 11:56:00,怎么发微博才能收到评论罗伯特的评论呀,消极
2024-01-02 11:56:00,评论一下我试试@评论罗伯特,积极
2024-01-02 11:56:00,来陪我玩@评论罗伯特,积极
2024-01-02 11:56:00,@评论罗伯特这是什么,积极
2024-01-02 11:57:00,吃烧腊还是饺子@评论罗伯特,积极
2024-01-02 11:58:00,970.【暖心】有时候看到罗伯特给我的评论挺想哭的、我这个号罗伯特给我的所有评论都是这种我真的有点离不开了。。,积极
2024-01-02 11:59:00,为什么罗伯特不评论,积极
2024-01-02 11:59:00,你为什么不鸟我？我怎么了@评论罗伯特,积极
2024-01-02 11:59:00,972.【文字稿】罗伯特不准在我小号下面评论了，没人理我还好，罗伯特在下面评论显得我更惨了,积极
2024-01-02 11:59:00,@评论罗伯特你为什么不来找我玩你快说啊为什么,积极
2024-01-02 12:27:00,#2024狮子座好运苏醒#不苏醒就找你,积极
2024-01-02 13:22:00,【玉米】求这次回归的电脑壁纸推荐,积极
2024-01-02 17:55:00,逛个超话又看见评论罗伯特在发癫,积极
2024-01-02 17:55:00,下次是什么时候@评论罗伯特,积极
2024-01-02 17:55:00,评论罗伯特怎么到处都有好几个朋友微博底下看见了,积极
2024-01-02 17:55:00,我看哭了别人都有你觉得蓝蓝是1还是黑黑是1呢@评论罗伯特,积极
2024-01-02 17:56:00,你怎么都去找别人不来找找我！@评论罗伯特,积极
2024-01-02 17:56:00,@评论罗伯特你一次都没来找过我什么意思红了是看不起我吗,积极
2024-01-02 17:56:00,@评论罗伯特hi,积极
2024-01-02 17:56:00,@评论罗伯特六点时代峰峻会发物料吗,积极
2024-01-02 17:57:00,@评论罗伯特你红了怎么不来找我了,积极
2024-01-02 17:57:00,@评论罗伯特能不能帮我考九门闭卷考？,消极
2024-01-02 17:58:00,期末考试复习不下去了怎么办@评论罗伯特,消极
2024-01-02 17:58:00,@评论罗伯特你为什么不理我,积极
2024-01-02 17:58:00,我就奇怪，为啥不评论我@评论罗伯特,积极
2024-01-02 17:58:00,@评论罗伯特你小子红了之后就开始偷懒了,积极
2024-01-02 17:58:00,看得出来你是真的喜欢数学，不如期末考你替我去了吧@评论罗伯特,积极
2024-01-02 17:58:00,@评论罗伯特你可以给我充个会员吗,积极
